:	rest	X
And	en	CONJ
the	en	DET
damned	en	ADJ
Khaat	hi	NOUN
Pe	hi	ADP
Charcha	hi	NOUN
does	en	VERB
not	en	PART_NEG
seem	en	VERB
to	en	PART
work	en	VERB

RT	rest	X
@Atheist_Krishna	rest	X
:	rest	X
Mr.	rest	NOUN
PM	rest	PROPN
@narendramodi	rest	X
now	en	ADV
u	en	PRON
r	en	VERB
in	en	ADP
centre	en	NOUN
&	rest	CONJ
that	en	DET
too	en	PART
with	en	ADP
majority	en	NOUN
.	rest	X
Lagta	hi	VERB
hai	hi	VERB
PM	rest	PROPN
ki	hi	ADP
kursi	hi	NOUN
me	hi	ADP
hi	hi	PART
locha	hi	VERB
hai	hi	VERB
.	rest	X

RT	rest	X
@ANI_news	rest	X
:	rest	X
Kuch	hi	DET
nhi	hi	PART_NEG
chahiye	hi	VERB
,	rest	X
humko	hi	PRON
humare	hi	PRON
pati	hi	NOUN
&	rest	CONJ
17	rest	NUM
jawano	hi	NOUN
ka	hi	ADP
badla	hi	NOUN
chahiye-	hi	VERB
Wife	en	NOUN
of	en	ADP
Havildar	hi	NOUN
Ashok	rest	PROPN
Singh	rest	PROPN
who	en	PRON_WH
died	en	VERB
in	en	ADP
#UriAttack	rest	X

RT	rest	X
@RpG_89	rest	X
:	rest	X
I	en	PRON
hope	en	VERB
people	en	NOUN
boycott	en	NOUN
@karanjohar	rest	X
s	rest	X
Aye	hi	PROPN
Dil	hi	PROPN
Hai	hi	PROPN
Mushkil	hi	PROPN
starring	en	VERB
Fawad	rest	PROPN
Khan	rest	PROPN
!	rest	X
Enough	en	ADV
!	rest	X
Snap	en	VERB
all	en	DET
ties	en	NOUN
!	rest	X
#UriAttack	rest	X
@SushmaSwaraj	rest	X

Wo	hi	PRON
1	rest	NUM
marenge	hi	VERB
,	rest	X
hum	hi	PRON
10	rest	NUM
marenge	hi	VERB
..	rest	X
Ma'am	rest	NOUN
,	rest	X
it's	en	VERB
high	en	ADJ
time	en	NOUN
to	en	PART
prove	en	VERB
your	en	PRON
point	en	NOUN
.	rest	X
#UriAttack	rest	X

Hamare	hi	PRON
jawano	hi	NOUN
ki	hi	ADP
family	en	NOUN
ko	hi	ADP
sahanabhuti	hi	NOUN
di	hi	VERB
Par	hi	CONJ
action	en	NOUN
lene	hi	VERB
ko	hi	ADP
kisi	hi	PRON
ne	hi	ADP
nai	hi	PART_NEG
kaha	hi	VERB
wah	hi	PART

#IndiaWithForces	rest	X
I	en	PRON
can	en	VERB
not	en	PART_NEG
understand	en	VERB
modi	rest	PROPN
ji	hi	PART
ka	hi	ADP
khun	hi	NOUN
kyo	hi	PRON_WH
nahi	hi	PART_NEG
khaul	hi	VERB
raha	hi	VERB
hai	hi	VERB
#UriAttack	rest	X
par	hi	CONJ

RT	rest	X
@Babu_Bhaiyaa	rest	X
:	rest	X
Those	en	DET
AAP/Cong	rest	PROPN
leaders	en	NOUN
who	en	PRON_WH
went	en	VERB
to	en	PART
JNU	rest	PROPN
&	rest	CONJ
supported	en	VERB
Bharat	rest	PROPN
Tere	hi	PRON
Tukade	hi	VERB
Honge	hi	VERB
brigade	en	NOUN
,	rest	X
now	en	ADV
abusing	en	VERB
PM	rest	PROPN
,	rest	X
asking	en	VERB
him	en	PRON
to	en	PART
ACT	en	VERB
.	rest	X
Hyp	en	X

RT	rest	X
@ANI_news	rest	X
:	rest	X
Desh	hi	NOUN
ke	hi	ADP
liye	hi	ADP
kurbaan	hi	VERB
ho	hi	VERB
gaya	hi	VERB
toh	hi	CONJ
koi	hi	DET
afsos	hi	NOUN
ki	hi	ADP
baat	hi	NOUN
nhi-Brother	rest	PART_NEG
of	en	ADP
Sepoy	hi	NOUN
Rakesh	rest	PROPN
Singh	rest	PROPN
who	en	PRON_WH
lost	en	VERB
his	en	PRON
life	en	NOUN
in	en	ADP
#UriAttack	rest	X
https://	rest	X

RT	rest	X
@JoySrkian	rest	X
:	rest	X
Sab	hi	DET
Neta	hi	NOUN
sirf	hi	ADV
Afsos	hi	NOUN
jatate	hi	VERB
h	hi	VERB
q	hi	PRON_WH
ki	hi	ADP
jo	hi	PRON
Soldier	en	NOUN
Shahid	hi	VERB
hote	hi	VERB
hai	hi	VERB
wo	hi	PRON
na	hi	PART_NEG
kisi	hi	ADJ
Neta	hi	NOUN
ya	hi	CONJ
Businessman	en	NOUN
ka	hi	ADP
beta	hi	NOUN
nhi	hi	PART_NEG
ek	hi	NUM
Kisan	hi	NOUN
ka	hi	ADP
beta	hi	NOUN
hot	hi	VERB

RT	rest	X
@waglenikhil	rest	X
:	rest	X
The	en	DET
way	en	NOUN
Arnab	rest	PROPN
Goswami	rest	PROPN
questions	en	VERB
Rahul	rest	PROPN
